ext_recipe_id,ingredient_pos,ingredient_text,ingredient_text_norm
18,2,1 teaspoon kosher salt,1 teaspoon kosher salt
18,3,1 teaspoon granulated garlic,1 teaspoon granulated garlic
18,4,1/2 cup mayonnaise,1/2 cup mayonnaise
18,5,1 tablespoon toasted sesame oil,1 tablespoon toasted sesame oil
18,6,1 tablespoon soy sauce,1 tablespoon soy sauce
18,7,"1 1/2 teaspoons lime juice,","1 1/2 teaspoons lime juice,"
18,8,1/2 cup panko (Japanese-style breadcrumbs),1/2 cup panko (japanese-style breadcrumbs)
18,9,1/2 cup toasted sesame seeds,1/2 cup toasted sesame seeds
18,10,cooking spray,cooking spray
18,11,2 teaspoons chili garlic sauce,2 teaspoons chili garlic sauce
18,12,1 teaspoon honey,1 teaspoon honey
19,1,2 pounds chicken wings and drummettes,2 pounds chicken wings and drummettes
19,2,1 tablespoon oil,1 tablespoon oil
19,3,1 1/2 teaspoons kosher salt,1 1/2 teaspoons kosher salt
19,4,1/2 teaspoon pepper,1/2 teaspoon pepper
19,5,1 cup Wet Wet sauce,1 cup wet wet sauce
19,6,"1/2 bunchgreen onions, green parts only, sliced (optional) green onions, green parts only, sliced (optional)","1/2 bunchgreen onions, green parts only, sliced (optional) green onions, green parts only, sliced (optional)"
19,7,1 teaspoon sesame seeds (optional),1 teaspoon sesame seeds (optional)
20,1,24 chicken taquitos,24 chicken taquitos
20,2,2 tablespoons butter,2 tablespoons butter
20,3,1 tablespoon hot sauce,1 tablespoon hot sauce
20,4,1/4 cup cotija cheese,1/4 cup cotija cheese
20,5,1 tablespoon chopped cilantro,1 tablespoon chopped cilantro
20,6,"1/2 cup sour cream, or as needed for dipping","1/2 cup sour cream, or as needed for dipping"
21,1,1 (8 ounce) chicken breast,1 (8 ounce) chicken breast
21,2,2 teaspoons olive oil,2 teaspoons olive oil
21,3,"1/4 teaspoon garlic powder, or to taste","1/4 teaspoon garlic powder, or to taste"
21,4,salt and freshly ground black pepper to taste,salt and freshly ground black pepper to taste
22,1,1 1/2 pounds skinless boneless chicken thighs,1 1/2 pounds skinless boneless chicken thighs
22,2,"3 cloves garlic, minced","3 cloves garlic, minced"
22,3,1 teaspoon lemon zest,1 teaspoon lemon zest
22,4,1 teaspoon paprika,1 teaspoon paprika
